"","Region","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"1","Alemania",3324.7,3874.9,4508.2,5531.8,7137.6,6959.5,8464.1,10865.6,18047,14902,14296.7
"2","Argentina",46.8,33.5,51.5,61.2,51.1,71.3,106.2,104.8,101.7,145.3,190
"3","Australia",316.1,323.8,430,516.6,552.4,621.2,691,703.3,1290.80491940636,1828.67515530413,1657.4246801566
"4","Austria",137.7,242.8,346.8,372.2,390.7,541.2,742.3,904.5,750.8,676.7,779.9
"5","Bélgica",-1018.6217554975,648.9,883.3,1021.9,1360.4,1542.3,1678.9,1166.9,2556.4,2336.3,2572.1
"6","Bolivia",1.6,1.8,1.7,1.8,1.9,1.8,2,2.3,2.5,2.8,7.2
"7","Brasil",112.1,100.3,108.1,114.5,101.7,150.3,319.4,465.4,433.8,397.2,590.8
"8","Canadá",2412.2,2496.1,2809.8,3008.2,2765,3173.4,3504.9,3599.3,3420.2,3813.3,3946.4
"9","Chile",24.9,41.1,45.5,48.5,54,55.2,61.3,63.6,59.2,64.1,-2983.35320227063
"10","China",110,132.8,107,236.4,157.4,204.5,342.6,570.5,429.5,830.5,743.3
"11","Colombia",2.6,4.1,6,7.6,9.9,11.3,16.8,29.7,39,56.5,58.9
"12","Corea del Sur",923.5,835.3,1311.2,1861.1,1908.4,2045.6,1735.1,2381.7,3199.1,3144.7,4320.5
"13","Costa Rica",0.9,1.7,0.5,0.5,0.1,2143.65296855095,-1076.73975313631,0.6,0.6,7.5,4.1
"14","Dinamarca",10940.6947812663,8727.05749998014,8812.60312560895,10075.180290159,9820.83799950107,7867.84518027889,10026.5584831601,9528.9688165841,8922.68794090618,9287.71058138451,12338.2683981202
"15","El Salvador",1.2,1.5,0.2,0.1,2.4,0.5,0.3,1.4,0.4,0.4,0.3
"16","España",365.4,370.1,527.9,500.1,564.8,922.6,537,801.2,703.4,885.6,1065.1
"17","EUA",49489,53859,56814,67093,74448,83550,97802,102126,97182,105583,120619
"18","Finlandia",583.7,560.4,501,839,1206.5,1069.8,1281.2,1488.5,1754,2329.1,3076.3
"19","Francia",2602.4,3335.3,4074.5,5169.1,6217,6230.1,8841.1,11041.2,14057.6,13150,15701.7
"20","Grecia",14,12.6,18.4,31.8,60.2,66.7,52.3,43.9,48,68.7,69
"21","Guatemala",1276.62171873285,83.5172491038031,-554.325217942662,2.2,4.5,7.9,10.8,11.9,13.1,13.4,14.7
"22","Holanda",1740.4,1963.5,2930.2,4205.2,3866.5,3481.2,4322.4,4873.3,5474.5,5490.7,5199.5
"23","Hungría",95.7,349.3,313.3,539.8,837.2,549.8,919.8,864.3,830.9,1017,1025.2
"24","India",37.2,20.2,24.1,52.8,206,60.9,163.1,147.8,192.6,128.7,2468.86942082488
"25","Irlanda",185,282.2,210.7,351.8,773.4,925.3,1185.4,1475,1698.2,2921.1,5049
"26","Israel",425.2,420.2,425.2,504.7,574.1,593,784.7,803.8,760.6,849.4,1066.6
"27","Italia",443.2,539,524.7,768.9,1129.8,1115.5,1049.6,3972.6,3927.6,3643.1,3686.1
