"","Region","2011"
"1","Alemania",512.78
"2","Argentina",388.07
"3","Australia",514.34
"4","Austria",495.91
"5","Bélgica",515.27
"6","Bolivia",240.353513129048
"7","Brasil",385.81
"8","Canadá",526.81
"9","Chile",421.06
"10","China",435.925807380584
"11","Colombia",380.85
"12","Corea del Sur",546.23
"13","Costa Rica",430.15439672753
"14","Dinamarca",503.28
"15","El Salvador",409.883774134302
"16","España",483.49
"17","EUA",487.4
"18","Finlandia",540.5
"19","Francia",496.78
"20","Grecia",466.1
"21","Guatemala",318.651058895679
"22","Holanda",525.84
"23","Hungría",490.17
"24","India",303.814799618992
"25","Irlanda",487.14
"26","Israel",446.86
"27","Italia",482.91
"28","Japón",528.99
"29","Malasia",487.999279159466
"30","México",418.51
"31","Nicaragua",405.985820862544
"32","Noruega",497.96
"33","Panamá",359.75
"34","Perú",365.11
"35","Polonia",494.8
"36","Portugal",486.89
"37","Reino Unido",492.41
"38","Rep. Checa",492.81
"39","Rep. Dominicana",325.564127398238
"40","Rusia",467.81
"41","Sudáfrica",289.042987614307
"42","Suecia",494.24
"43","Suiza",533.96
"44","Tailandia",418.58
"45","Turquía",445.45
"46","Venezuela",341.741390320728
